epoch,loss,val_loss
0,3.9507920210361482,3.2405832614912176
1,3.0843870482444764,3.0561703977312744
2,2.793858502149582,2.7221398274872106
3,2.6031395859718325,2.7438588302615003
4,2.494559807062149,2.488311139515789
5,2.414010401368141,2.477228543635276
6,2.345491179943085,2.5681400660551037
7,2.310819707632065,2.4367492929209913
8,2.2772196769714355,2.402660695541245
9,2.2647420954704285,2.712360500867736
10,2.2235226148366927,2.399331393064235
11,2.211761107325554,2.432408150033382
12,2.210570027112961,2.4106012976582787
13,2.1927114902734757,2.3754969392006084
14,2.1735278725624085,2.295364783412301
15,2.1594606951475144,2.35625656723161
16,2.154947928547859,2.37351279386904
17,2.1373626145124436,2.474019557343033
18,2.1400183032751086,2.4423837872277843
19,2.1286487041711806,2.3609309292041982
0,3.9056691093444824,3.2192633552839105
1,3.061818234920502,2.9358113511950585
2,2.779328436136246,2.776601963801025
3,2.6036440017223357,2.769120474998413
4,2.488977487683296,2.781347748778446
5,2.4272683001756667,2.5766559927229102
6,2.3653580448627474,2.486186244020595
7,2.315375070929527,2.4900143277782845
8,2.2822567203044892,2.529912861527432
9,2.2614411571025848,2.574630137575991
10,2.2387232760190963,2.428779661978677
11,2.2191740473508834,2.745432427907097
12,2.2047717670202256,2.379873884930079
13,2.2036618641614916,2.4847513457790518
14,2.178516754031181,2.358314128029996
15,2.1672334370613098,2.320833638742605
16,2.1580339626073837,2.33977967732584
17,2.144200585246086,2.3166004431132463
18,2.1388610916137694,2.400203597430378
19,2.1277917952537537,2.3623532330306793
